RENDERING NPI,PROVIDER LEGAL NAME,CALENDAR YEAR,DELIVERY SYSTEM,PROVIDER TYPE,AGE GROUP,ADV USER CNT,ADV USER ANNOTATION CODE,ADV SVC CNT,ADV  SVC ANNOTATION CODE,PREV USER CNT,PREV USER ANNOTATION CODE,PREV SVC CNT,PREV SVC ANNOTATION CODE,TXMT USER CNT,TXMT USER ANNOTATION CODE,TXMT SVC CNT,TXMT SVC ANNOTATION CODE,EXAM USER CNT,EXAM USER ANNOTATION CODE,EXAM SVC CNT,EXAM SVC ANNOTATION CODE
1003003781,CHOTI SUPAK,2018,FFS,RENDERING,AGE 0-20,101,,847,,89,,216,,37,,115,,83,,98,
1003003781,CHOTI SUPAK,2018,FFS,RENDERING,AGE 21+,67,,253,,19,,30,,43,,73,,15,,15,
1003004698,"GODFREY III, MERLE FRANKLIN,",2018,FFS,RENDERING,AGE 21+,357,,1213,,123,,131,,357,,712,,316,,316,
1003009440,VONTELA REKHA,2018,FFS,RENDERING,AGE 0-20,975,,8783,,930,,3732,,208,,456,,919,,1081,
1003009440,VONTELA REKHA,2018,FFS,RENDERING,AGE 21+,837,,5337,,706,,1396,,335,,824,,744,,744,
1003010372,LIM KYUNG A,2018,FFS,RENDERING,AGE 0-20,362,,1925,,280,,687,,116,,232,,297,,322,
1003010372,LIM KYUNG A,2018,FFS,RENDERING,AGE 21+,250,,1219,,132,,263,,138,,358,,152,,152,
1003011172,"KHULLAR, SONIA, DDS",2018,FFS,RENDERING,AGE 0-20,90,,800,,86,,324,,42,,83,,82,,92,
1003011172,"KHULLAR, SONIA, DDS",2018,FFS,RENDERING,AGE 21+,236,,1590,,169,,326,,150,,631,,148,,148,
1003012170,"SHAH, KISHORE K, DDS INC",2018,PHP,RENDERING,AGE 0-20,53,,620,,51,,330,,14,,60,,50,,122,
1003012170,"SHAH, KISHORE K, DDS INC",2018,PHP,RENDERING,AGE 21+,22,,198,,13,,40,,,1,,2,19,,44,
1003012857,HUSSAINY MIRWAIS,2018,FFS,RENDERING,AGE 0-20,160,,656,,,1,0,,156,,641,,,1,,1
1003012857,HUSSAINY MIRWAIS,2018,FFS,RENDERING,AGE 21+,222,,1041,,,1,0,,218,,1023,,,1,,1
1003012857,HUSSAINY MIRWAIS,2018,PHP,RENDERING,AGE 21+,,1,,2,,1,0,,,1,,1,0,,0,
1003022880,WANG JAMES H,2018,FFS,RENDERING,AGE 0-20,268,,2322,,229,,656,,148,,461,,244,,326,
1003022880,WANG JAMES H,2018,FFS,RENDERING,AGE 21+,187,,1311,,63,,125,,144,,635,,111,,111,
1003022906,AMOG BARBARA T,2018,FFS,RENDERING,AGE 0-20,88,,400,,85,,317,,0,,0,,83,,83,
1003028077,PHAM CATHY H,2018,FFS,RENDERING,AGE 0-20,83,,633,,75,,240,,33,,92,,66,,71,
1003028077,PHAM CATHY H,2018,FFS,RENDERING,AGE 21+,33,,208,,25,,48,,12,,46,,25,,25,
1003031972,NGUYEN DAVE H,2018,FFS,RENDERING,AGE 0-20,157,,1677,,137,,264,,63,,159,,140,,182,
1003031972,NGUYEN DAVE H,2018,FFS,RENDERING,AGE 21+,188,,1482,,38,,38,,118,,432,,118,,118,
1003032061,LEE CHARLES C,2018,FFS,RENDERING,AGE 21+,,1,,2,,1,,1,,1,,2,,1,,1
1003034497,GONZALEZ DENTAL CORPORATION,2018,FFS,RENDERING,AGE 21+,,1,,1,,1,0,,,1,,1,0,,0,
1003034497,GONZALEZ DENTAL CORPORATION,2018,PHP,RENDERING,AGE 0-20,,1,,2,,1,,1,,1,,1,,1,,1
1003034497,GONZALEZ DENTAL CORPORATION,2018,PHP,RENDERING,AGE 21+,12,,40,,,1,,1,,1,,2,,1,,1
1003035114,"KIM, KWANG SEOB, DDS",2018,FFS,RENDERING,AGE 0-20,193,,1035,,134,,420,,71,,219,,157,,169,
1003035114,"KIM, KWANG SEOB, DDS",2018,FFS,RENDERING,AGE 21+,599,,3149,,177,,346,,407,,1522,,432,,433,
1003035239,CHEN JING,2018,FFS,RENDERING,AGE 0-20,196,,1736,,171,,535,,93,,467,,178,,238,
1003035239,CHEN JING,2018,FFS,RENDERING,AGE 21+,383,,3309,,257,,510,,320,,1883,,271,,271,
1003037789,GRAHAM-LACY ADRIANE K,2018,FFS,RENDERING,AGE 0-20,,1,,1,,1,0,,0,,0,,0,,0,
1003048307,"SCOTT, MICHAEL G, DDS",2018,FFS,RENDERING,AGE 0-20,,1,,2,,1,,1,,1,,1,,1,,1
1003048307,"SCOTT, MICHAEL G, DDS",2018,FFS,RENDERING,AGE 21+,71,,287,,55,,99,,21,,69,,65,,65,
1003056409,RASHIDI MARK M,2018,FFS,RENDERING,AGE 0-20,240,,397,,,1,0,,71,,174,,0,,0,
1003056409,RASHIDI MARK M,2018,FFS,RENDERING,AGE 21+,,1,,1,,1,0,,0,,0,,0,,0,
1003056409,RASHIDI MARK M,2018,GMC,RENDERING,AGE 0-20,,1,,1,,1,0,,,1,,1,0,,0,
1003063652,VAHIDNIA ARJANG,2018,FFS,RENDERING,AGE 21+,,1,,1,,1,0,,,1,,1,,1,,1
1003063652,VAHIDNIA ARJANG,2018,GMC,RENDERING,AGE 0-20,147,,331,,,1,0,,140,,195,,15,,16,
1003063652,VAHIDNIA ARJANG,2018,GMC,RENDERING,AGE 21+,444,,925,,,1,,1,376,,503,,132,,148,
1003072828,NAIK APARNA R,2018,FFS,RENDERING,AGE 0-20,90,,415,,72,,141,,16,,29,,60,,61,
1003072828,NAIK APARNA R,2018,FFS,RENDERING,AGE 21+,275,,1173,,109,,130,,152,,362,,126,,126,
1003074923,PILLAI BINDU V,2018,FFS,RENDERING,AGE 0-20,745,,7395,,118,,257,,488,,1362,,596,,613,
1003074923,PILLAI BINDU V,2018,FFS,RENDERING,AGE 21+,221,,2716,,74,,81,,121,,696,,184,,184,
1003081142,MURPHY NEAL CONRAD,2018,FFS,RENDERING,AGE 21+,,1,,1,,1,0,,,1,,1,0,,0,
1003081142,MURPHY NEAL CONRAD,2018,PHP,RENDERING,AGE 21+,,1,,1,,1,0,,0,,0,,,1,,1
1003082074,"SHIRAZI ARDESTANI, BEHZAD, I",2018,PHP,RENDERING,AGE 21+,,1,,1,,1,0,,,1,,1,0,,0,
1003091232,SHELAT BHAVINI H,2018,FFS,RENDERING,AGE 0-20,2339,,23445,,2009,,5517,,656,,2351,,2025,,2230,
1003091489,"FALABELLA, JULIAN, DDS",2018,FFS,RENDERING,AGE 0-20,86,,247,,,1,0,,81,,228,,,1,,1
1003091489,"FALABELLA, JULIAN, DDS",2018,FFS,RENDERING,AGE 21+,70,,224,,,1,0,,63,,197,,,1,,1
1003093691,TRINH HELEN T,2018,FFS,RENDERING,AGE 21+,868,,3005,,373,,741,,868,,1909,,342,,342,
1003097783,SIMANIAN MITRA E,2018,FFS,RENDERING,AGE 0-20,78,,561,,63,,143,,15,,49,,66,,73,
1003097783,SIMANIAN MITRA E,2018,FFS,RENDERING,AGE 21+,55,,200,,12,,13,,23,,45,,41,,41,
1003097783,SIMANIAN MITRA E,2018,PHP,RENDERING,AGE 0-20,,1,,2,,1,,1,0,,0,,,1,,1
1003097783,SIMANIAN MITRA E,2018,PHP,RENDERING,AGE 21+,,1,,1,,1,0,,,1,,1,,1,,1
1003099730,NGUYEN HUONG N,2018,FFS,RENDERING,AGE 0-20,522,,3577,,433,,1323,,222,,732,,414,,435,
1003099730,NGUYEN HUONG N,2018,FFS,RENDERING,AGE 21+,592,,3090,,171,,284,,387,,1755,,300,,300,
1003099730,NGUYEN HUONG N,2018,PHP,RENDERING,AGE 21+,,1,,1,,1,0,,,1,,1,0,,0,
1003100959,MATCHETT JOHN,2018,PHP,RENDERING,AGE 0-20,31,,129,,23,,57,,,1,,2,22,,24,
